artist,song,duration_ms,duration_min,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,primary_genre,secondary_genre,tertiary_genre,
Calvin Harris,We'll Be Coming Back (feat. Example),234360,3.91,FALSE,2012,62,0.596,0.952,7,-4.364,major,0.0873,0.00131,0,0.598,0.571,127.945,hip hop, pop, dance/electronic,
Emeli Sandé,"Read All About It, Pt. III",283706,4.73,FALSE,2012,65,0.63,0.44,2,-7.186,major,0.0249,0.822,3.87E-06,0.0926,0.343,98.082,pop, r&b,,
Ellie Goulding,Lights - Single Version,210853,3.51,FALSE,2010,63,0.682,0.795,8,-6.17,minor,0.0367,0.0297,0.0391,0.131,0.78,120.008,pop, rock, dance/electronic,
Train,Drive By,195973,3.27,FALSE,2012,77,0.765,0.837,1,-3.113,minor,0.032,0.00107,1.06E-05,0.0801,0.721,122.028,pop,,,
Disclosure,Latch,255631,4.26,FALSE,2013,74,0.503,0.727,1,-5.456,major,0.167,0.0159,9.45E-05,0.0895,0.521,121.985,pop, dance/electronic,,
Coldplay,Princess of China,239215,3.99,FALSE,2011,66,0.42,0.69,9,-6.221,minor,0.0347,0.00385,0.015,0.287,0.237,85.014,rock, pop,,
One Direction,Live While We're Young,200186,3.34,FALSE,2012,0,0.658,0.837,2,-2.063,major,0.0543,0.0629,0,0.0969,0.936,126.015,pop,,,
Gym Class Heroes,Ass Back Home (feat. Neon Hitch),222213,3.70,TRUE,2011,61,0.716,0.838,10,-4.289,major,0.0513,0.134,0,0.148,0.646,130.034,hip hop, pop,,
Carrie Underwood,Blown Away,240133,4.00,FALSE,2012,63,0.531,0.843,9,-2.569,minor,0.0429,0.0909,0,0.0283,0.392,136.991,pop, country,,
alt-J,Breezeblocks,227080,3.78,FALSE,2012,71,0.616,0.656,5,-7.298,major,0.0344,0.096,0.000879,0.205,0.286,150.071,rock,,,
Chris Brown,Don't Wake Me Up,222306,3.71,FALSE,2012,62,0.602,0.691,7,-5.197,minor,0.051,0.0548,0,0.144,0.206,127.967,hip hop, pop, r&b,
Kelly Clarkson,Stronger (What Doesn't Kill You),221946,3.70,FALSE,2011,74,0.562,0.939,0,-4.282,major,0.0475,0.046,0,0.112,0.684,116.044,pop, r&b,,
Drake,The Motto,181573,3.03,TRUE,2011,74,0.766,0.442,1,-8.558,major,0.356,0.000107,6.12E-05,0.111,0.39,201.8,hip hop, pop, r&b,
Katy Perry,Wide Awake,220946,3.68,FALSE,2012,65,0.514,0.683,5,-5.099,major,0.0367,0.0749,2.64E-06,0.392,0.575,159.814,pop,,,
Rita Ora,How We Do (Party),247026,4.12,TRUE,2012,48,0.738,0.922,7,-3.94,major,0.0833,0.0034,0,0.0986,0.689,116.024,hip hop, pop, dance/electronic,
Rudimental,Feel the Love (feat. John Newman),245186,4.09,FALSE,2013,64,0.389,0.706,1,-6.849,major,0.0593,0.0026,0.000182,0.686,0.238,179.911,pop, dance/electronic,,
Lana Del Rey,Ride,289080,4.82,TRUE,2012,66,0.373,0.686,0,-5.52,major,0.034,0.128,1.96E-06,0.383,0.189,93.763,pop,,,
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),251626,4.19,FALSE,2012,69,0.658,0.677,5,-6.628,major,0.0393,0.248,0,0.368,0.248,124.91,pop, r&b,,
Demi Lovato,Give Your Heart a Break,205346,3.42,FALSE,2011,71,0.651,0.695,6,-3.218,major,0.0487,0.23,0,0.144,0.569,123.008,pop,,,
Drake,Take Care,277386,4.62,TRUE,2011,75,0.629,0.515,0,-10.358,minor,0.265,0.0267,1.22E-05,0.0888,0.299,121.845,hip hop, pop, r&b,
Little Mix,Wings,219733,3.66,FALSE,2012,0,0.738,0.875,7,-3.141,major,0.127,0.000673,0.000556,0.285,0.538,114.962,pop,,,
Bruno Mars,It Will Rain,257720,4.30,FALSE,2011,74,0.576,0.835,2,-6.826,major,0.0486,0.337,0,0.082,0.476,150.017,pop,,,
Cher Lloyd,Want U Back,214013,3.57,FALSE,2011,67,0.696,0.893,9,-2.963,major,0.076,0.0662,0,0.473,0.573,97.954,pop, dance/electronic,,
Lorde,Royals,190185,3.17,FALSE,2013,77,0.674,0.428,7,-9.504,major,0.122,0.121,0,0.132,0.337,84.878,pop, dance/electronic,,
Robin Thicke,Blurred Lines,263053,4.38,FALSE,2013,55,0.861,0.504,7,-7.707,major,0.0489,0.00412,1.78E-05,0.0783,0.881,120,pop, r&b,,
Imagine Dragons,Radioactive,186813,3.11,FALSE,2012,77,0.448,0.784,9,-3.686,major,0.0627,0.106,0.000108,0.668,0.236,136.245,rock,,,
Avicii,Wake Me Up,247426,4.12,FALSE,2013,6,0.532,0.783,2,-5.697,major,0.0523,0.0038,0.0012,0.161,0.643,124.08,pop, dance/electronic,,
Bruno Mars,Locked out of Heaven,233478,3.89,FALSE,2012,85,0.726,0.698,5,-4.165,major,0.0431,0.049,0,0.309,0.867,143.994,pop,,,
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),235613,3.93,TRUE,2012,1,0.781,0.526,6,-6.985,minor,0.293,0.0619,0,0.0457,0.662,94.992,hip hop, pop,,
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,248413,4.14,FALSE,2013,83,0.794,0.811,6,-8.966,minor,0.038,0.0426,1.07E-06,0.101,0.862,116.047,hip hop, dance/electronic,,
will.i.am,Scream & Shout,283400,4.72,TRUE,2013,78,0.772,0.685,5,-6.849,major,0.0696,0.019,8.96E-05,0.131,0.501,130.033,hip hop, pop,,
Stromae,Papaoutai,232146,3.87,FALSE,2013,0,0.733,0.818,10,-7.222,minor,0.0859,0.0241,0,0.0636,0.253,116.019,pop,,,
Bingo Players,Get Up (Rattle) - Vocal Edit,166933,2.78,FALSE,2013,1,0.801,0.985,7,-2.69,major,0.0645,0.0205,6.86E-06,0.296,0.722,127.99,pop, dance/electronic,,
Naughty Boy,La La La,220779,3.68,FALSE,2013,58,0.754,0.677,6,-4.399,minor,0.0316,0.112,0,0.111,0.254,124.988,dance/electronic,,,
Tom Odell,Another Love,244360,4.07,TRUE,2013,88,0.445,0.537,4,-8.532,minor,0.04,0.695,1.65E-05,0.0944,0.131,122.769,pop,,,
2 Chainz,We Own It (Fast & Furious),227906,3.80,FALSE,2013,69,0.563,0.902,1,-4.586,minor,0.402,0.0545,0,0.0524,0.559,171.999,hip hop, pop,,
David Guetta,Play Hard (feat. Ne-Yo & Akon),201000,3.35,FALSE,2012,69,0.691,0.921,8,-1.702,minor,0.0533,0.173,0,0.331,0.8,130.072,hip hop, pop, dance/electronic,
Pitbull,Feel This Moment (feat. Christina Aguilera),229506,3.83,FALSE,2012,77,0.673,0.758,7,-3.632,major,0.158,0.039,0,0.341,0.542,135.956,hip hop, pop, latin,
will.i.am,#thatPOWER,279506,4.66,FALSE,2013,68,0.797,0.608,6,-6.096,minor,0.0584,0.00112,7.66E-05,0.0748,0.402,127.999,hip hop, pop,,
Lil Wayne,Love Me,255053,4.25,TRUE,2013,68,0.669,0.634,11,-6.476,major,0.0327,0.0125,0,0.0946,0.496,124.906,hip hop, pop,,
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),258342,4.31,FALSE,2012,81,0.641,0.922,2,-4.457,major,0.0786,0.0291,0,0.0862,0.847,146.078,hip hop, pop,,
Martin Garrix,Animals - Radio Edit,176117,2.94,FALSE,2013,0,0.593,0.914,1,-5.351,major,0.0363,0.00137,0.445,0.0714,0.0381,128.015,pop, dance/electronic,,
